Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_24_568_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326210,0.0339621
GemmTunableOp_Half_TN,tn_2560_568_1536_ld_1536_1536_2560,Default,0.218095
GemmTunableOp_Half_TN,tn_512_568_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.101555
GemmTunableOp_Half_TN,tn_320_568_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326129,0.0794731
GemmTunableOp_Half_TN,tn_2560_568_160_ld_160_160_2560,Gemm_Rocblas_-1086326113,0.0340521
GemmTunableOp_Half_NN,nn_1_568_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0145786
GemmTunableOp_Half_TN,tn_10240_568_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326268,1.47562
GemmTunableOp_Half_TN,tn_2560_568_2560_ld_2560_2560_2560,Default,0.377454
GemmTunableOp_Half_TN,tn_3584_568_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326077,0.51427
GemmTunableOp_Half_TN,tn_640_568_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326128,0.131919
GemmTunableOp_Half_TN,tn_320_568_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.239809
GemmTunableOp_Half_TN,tn_336_940_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.430687
GemmTunableOp_Half_TN,tn_10240_940_320_ld_320_320_10240,Default,0.284174
GemmTunableOp_Half_TN,tn_4096_940_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326079,0.912457
GemmTunableOp_Half_TN,tn_24_940_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0434658
GemmTunableOp_Half_TN,tn_2560_940_1536_ld_1536_1536_2560,Default,0.322218
GemmTunableOp_Half_TN,tn_512_940_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326045,0.141143
GemmTunableOp_Half_TN,tn_320_940_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.121105
GemmTunableOp_Half_TN,tn_2560_940_160_ld_160_160_2560,Default,0.0484959
GemmTunableOp_Half_NN,nn_1_940_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0190687
GemmTunableOp_Half_TN,tn_10240_940_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326047,2.16956
GemmTunableOp_Half_TN,tn_2560_940_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326077,0.619067
GemmTunableOp_Half_TN,tn_3584_940_2560_ld_2560_2560_3584,Default,0.813046
GemmTunableOp_Half_TN,tn_640_940_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326082,0.197701
GemmTunableOp_Half_TN,tn_320_940_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.43293
GemmTunableOp_Half_TN,tn_336_1724_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.754358
GemmTunableOp_Half_TN,tn_10240_1724_320_ld_320_320_10240,Default,0.497684
GemmTunableOp_Half_TN,tn_4096_1724_2560_ld_2560_2560_4096,Default,1.56741
GemmTunableOp_Half_TN,tn_24_1724_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.0530992
GemmTunableOp_Half_TN,tn_2560_1724_1536_ld_1536_1536_2560,Default,0.592643
GemmTunableOp_Half_TN,tn_512_1724_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326044,0.211648
GemmTunableOp_Half_TN,tn_320_1724_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.193932
GemmTunableOp_Half_TN,tn_2560_1724_160_ld_160_160_2560,Default,0.0721251
GemmTunableOp_Half_NN,nn_1_1724_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0295581
GemmTunableOp_Half_TN,tn_10240_1724_2560_ld_2560_2560_10240,Default,3.63104
GemmTunableOp_Half_TN,tn_2560_1724_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326063,0.959776
GemmTunableOp_Half_TN,tn_3584_1724_2560_ld_2560_2560_3584,Default,1.32058
GemmTunableOp_Half_TN,tn_640_1724_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326277,0.272755
GemmTunableOp_Half_TN,tn_320_1724_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326108,0.726946
GemmTunableOp_Half_TN,tn_336_1124_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326084,0.481455
GemmTunableOp_Half_TN,tn_10240_1124_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.34155
GemmTunableOp_Half_TN,tn_4096_1124_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326061,1.06737
GemmTunableOp_Half_TN,tn_24_1124_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0439483
GemmTunableOp_Half_TN,tn_2560_1124_1536_ld_1536_1536_2560,Default,0.388417
GemmTunableOp_Half_TN,tn_512_1124_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.140065
GemmTunableOp_Half_TN,tn_320_1124_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.136721
GemmTunableOp_Half_TN,tn_2560_1124_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.055356
GemmTunableOp_Half_NN,nn_1_1124_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0196591
GemmTunableOp_Half_TN,tn_10240_1124_2560_ld_2560_2560_10240,Default,2.4788
GemmTunableOp_Half_TN,tn_2560_1124_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326079,0.704213
GemmTunableOp_Half_TN,tn_3584_1124_2560_ld_2560_2560_3584,Default,0.802844
GemmTunableOp_Half_TN,tn_640_1124_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326085,0.225297
GemmTunableOp_Half_TN,tn_320_1124_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326084,0.476259
GemmTunableOp_Half_TN,tn_336_504_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326129,0.220832
GemmTunableOp_Half_TN,tn_10240_504_320_ld_320_320_10240,Gemm_Rocblas_-1086326045,0.144396
GemmTunableOp_Half_TN,tn_4096_504_2560_ld_2560_2560_4096,Default,0.474833
GemmTunableOp_Half_TN,tn_24_504_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326210,0.0337157
GemmTunableOp_Half_TN,tn_2560_504_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.195396
GemmTunableOp_Half_TN,tn_512_504_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326128,0.0922234
GemmTunableOp_Half_TN,tn_320_504_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326129,0.0723718
GemmTunableOp_Half_TN,tn_2560_504_160_ld_160_160_2560,Gemm_Rocblas_-1086326086,0.0335381
GemmTunableOp_Half_NN,nn_1_504_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0144174
GemmTunableOp_Half_TN,tn_10240_504_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326047,1.03923
GemmTunableOp_Half_TN,tn_2560_504_2560_ld_2560_2560_2560,Default,0.325254
GemmTunableOp_Half_TN,tn_3584_504_2560_ld_2560_2560_3584,Default,0.410358
GemmTunableOp_Half_TN,tn_640_504_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326128,0.121249
GemmTunableOp_Half_TN,tn_320_504_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.235203
GemmTunableOp_Half_TN,tn_336_1316_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326046,0.480322
GemmTunableOp_Half_TN,tn_10240_1316_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.35617
GemmTunableOp_Half_TN,tn_4096_1316_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,1.30042
GemmTunableOp_Half_TN,tn_24_1316_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0514503
GemmTunableOp_Half_TN,tn_2560_1316_1536_ld_1536_1536_2560,Default,0.464308
GemmTunableOp_Half_TN,tn_512_1316_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326044,0.197827
GemmTunableOp_Half_TN,tn_320_1316_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326062,0.147866
GemmTunableOp_Half_TN,tn_2560_1316_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0610593
GemmTunableOp_Half_NN,nn_1_1316_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0218167
GemmTunableOp_Half_TN,tn_10240_1316_2560_ld_2560_2560_10240,Default,2.55612
GemmTunableOp_Half_TN,tn_2560_1316_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326061,0.858749
GemmTunableOp_Half_TN,tn_3584_1316_2560_ld_2560_2560_3584,Default,1.01798
GemmTunableOp_Half_TN,tn_640_1316_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326277,0.250948
GemmTunableOp_Half_TN,tn_320_1316_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326062,0.547734
GemmTunableOp_Half_TN,tn_336_84_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326139,0.116276
GemmTunableOp_Half_TN,tn_10240_84_320_ld_320_320_10240,Gemm_Rocblas_-1086326070,0.0518008
GemmTunableOp_Half_TN,tn_4096_84_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326062,0.154254
GemmTunableOp_Half_TN,tn_24_84_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326201,0.023484
GemmTunableOp_Half_TN,tn_2560_84_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326129,0.0849093
GemmTunableOp_Half_TN,tn_512_84_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326129,0.0453043
GemmTunableOp_Half_TN,tn_320_84_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326129,0.0431751
GemmTunableOp_Half_TN,tn_2560_84_160_ld_160_160_2560,Gemm_Rocblas_-1086326242,0.0152706
GemmTunableOp_Half_NN,nn_1_84_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0122978
GemmTunableOp_Half_TN,tn_10240_84_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,0.348253
GemmTunableOp_Half_TN,tn_2560_84_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326084,0.124502
GemmTunableOp_Half_TN,tn_3584_84_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326062,0.149824
GemmTunableOp_Half_TN,tn_640_84_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326139,0.051752
GemmTunableOp_Half_TN,tn_320_84_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326129,0.118613
GemmTunableOp_Half_TN,tn_336_1388_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326110,0.527548
GemmTunableOp_Half_TN,tn_10240_1388_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.362066
GemmTunableOp_Half_TN,tn_4096_1388_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,1.30965
GemmTunableOp_Half_TN,tn_24_1388_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0515612
GemmTunableOp_Half_TN,tn_2560_1388_1536_ld_1536_1536_2560,Default,0.463691
GemmTunableOp_Half_TN,tn_512_1388_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326044,0.198299
GemmTunableOp_Half_TN,tn_320_1388_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326046,0.13598
GemmTunableOp_Half_TN,tn_2560_1388_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0666663
GemmTunableOp_Half_NN,nn_1_1388_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0292917
GemmTunableOp_Half_TN,tn_10240_1388_2560_ld_2560_2560_10240,Default,2.99226
GemmTunableOp_Half_TN,tn_2560_1388_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326061,0.872797
GemmTunableOp_Half_TN,tn_3584_1388_2560_ld_2560_2560_3584,Default,1.02165
GemmTunableOp_Half_TN,tn_640_1388_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326079,0.253309
GemmTunableOp_Half_TN,tn_320_1388_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326110,0.560876
GemmTunableOp_Half_TN,tn_336_824_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.411828
GemmTunableOp_Half_TN,tn_10240_824_320_ld_320_320_10240,Default,0.219544
GemmTunableOp_Half_TN,tn_4096_824_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326061,0.798465
GemmTunableOp_Half_TN,tn_24_824_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0385226
GemmTunableOp_Half_TN,tn_2560_824_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.313596
GemmTunableOp_Half_TN,tn_512_824_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.1326
GemmTunableOp_Half_TN,tn_320_824_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.109801
GemmTunableOp_Half_TN,tn_2560_824_160_ld_160_160_2560,Gemm_Rocblas_-1086326071,0.0446535
GemmTunableOp_Half_NN,nn_1_824_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0170111
GemmTunableOp_Half_TN,tn_10240_824_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326268,2.03494
GemmTunableOp_Half_TN,tn_2560_824_2560_ld_2560_2560_2560,Default,0.516137
GemmTunableOp_Half_TN,tn_3584_824_2560_ld_2560_2560_3584,Default,0.7265
GemmTunableOp_Half_TN,tn_640_824_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326078,0.154918
GemmTunableOp_Half_TN,tn_320_824_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326140,0.409201
GemmTunableOp_Half_TN,tn_336_272_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.152532
GemmTunableOp_Half_TN,tn_10240_272_320_ld_320_320_10240,Gemm_Rocblas_-1086326044,0.105012
GemmTunableOp_Half_TN,tn_4096_272_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,0.360569
GemmTunableOp_Half_TN,tn_24_272_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326204,0.0244532
GemmTunableOp_Half_TN,tn_2560_272_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326044,0.131307
GemmTunableOp_Half_TN,tn_512_272_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.0666878
GemmTunableOp_Half_TN,tn_320_272_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326139,0.0543857
GemmTunableOp_Half_TN,tn_2560_272_160_ld_160_160_2560,Gemm_Rocblas_-1086326078,0.0276368
GemmTunableOp_Half_NN,nn_1_272_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0118358
GemmTunableOp_Half_TN,tn_10240_272_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326077,0.850823
GemmTunableOp_Half_TN,tn_2560_272_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326123,0.243818
GemmTunableOp_Half_TN,tn_3584_272_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326273,0.341484
GemmTunableOp_Half_TN,tn_640_272_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326140,0.0814988
GemmTunableOp_Half_TN,tn_320_272_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.146819
GemmTunableOp_Half_TN,tn_336_1152_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326084,0.458436
GemmTunableOp_Half_TN,tn_10240_1152_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.293902
GemmTunableOp_Half_TN,tn_4096_1152_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,1.05542
GemmTunableOp_Half_TN,tn_24_1152_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0440895
GemmTunableOp_Half_TN,tn_2560_1152_1536_ld_1536_1536_2560,Default,0.382033
GemmTunableOp_Half_TN,tn_512_1152_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326046,0.13756
GemmTunableOp_Half_TN,tn_320_1152_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.137732
GemmTunableOp_Half_TN,tn_2560_1152_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0483008
GemmTunableOp_Half_NN,nn_1_1152_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0198255
GemmTunableOp_Half_TN,tn_10240_1152_2560_ld_2560_2560_10240,Default,2.52689
GemmTunableOp_Half_TN,tn_2560_1152_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326063,0.709013
GemmTunableOp_Half_TN,tn_3584_1152_2560_ld_2560_2560_3584,Default,0.816904
GemmTunableOp_Half_TN,tn_640_1152_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326085,0.22317
GemmTunableOp_Half_TN,tn_320_1152_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326084,0.477377
GemmTunableOp_Half_TN,tn_336_72_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326139,0.11518
GemmTunableOp_Half_TN,tn_10240_72_320_ld_320_320_10240,Gemm_Rocblas_-1086326070,0.0518885
GemmTunableOp_Half_TN,tn_4096_72_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326062,0.150895
GemmTunableOp_Half_TN,tn_24_72_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326214,0.0234652
GemmTunableOp_Half_TN,tn_2560_72_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326129,0.0736228
GemmTunableOp_Half_TN,tn_512_72_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326129,0.0443911
GemmTunableOp_Half_TN,tn_320_72_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326129,0.0428679
